task,algorithm,seed,num_samples,cost,wall_time_s,status,error
pendulum,ps,0,64,8.55980396270752,0.7361035346984863,ok,
pendulum,ps,1,64,8.895048141479492,0.6943967342376709,ok,
pendulum,ps,2,64,9.284132957458496,0.7007317543029785,ok,
pendulum,ps,3,64,9.060007095336914,0.7927820682525635,ok,
pendulum,ps,4,64,8.756135940551758,0.6907877922058105,ok,
pendulum,ps,5,64,8.978218078613281,0.6975748538970947,ok,
pendulum,ps,6,64,8.48275375366211,0.6993386745452881,ok,
pendulum,ps,7,64,8.3787260055542,0.7018425464630127,ok,
pendulum,ps,8,64,9.300782203674316,0.7923882007598877,ok,
pendulum,ps,9,64,8.696776390075684,0.6908869743347168,ok,
pendulum,mppi,0,64,9.631628036499023,0.6917579174041748,ok,
pendulum,mppi,1,64,9.886847496032715,0.6959114074707031,ok,
pendulum,mppi,2,64,9.748400688171387,0.6866419315338135,ok,
pendulum,mppi,3,64,9.954879760742188,0.6866974830627441,ok,
pendulum,mppi,4,64,10.025607109069824,0.696843147277832,ok,
pendulum,mppi,5,64,9.928370475769043,0.6872808933258057,ok,
pendulum,mppi,6,64,10.603340148925781,0.692474365234375,ok,
pendulum,mppi,7,64,10.196738243103027,0.6810705661773682,ok,
pendulum,mppi,8,64,9.874112129211426,0.6850590705871582,ok,
pendulum,mppi,9,64,10.490988731384277,0.6962699890136719,ok,
pendulum,cem,0,64,9.763528823852539,0.7974157333374023,ok,
pendulum,cem,1,64,9.307881355285645,0.7172374725341797,ok,
pendulum,cem,2,64,9.284707069396973,0.7236435413360596,ok,
pendulum,cem,3,64,9.332331657409668,0.71510910987854,ok,
pendulum,cem,4,64,9.765456199645996,0.7200860977172852,ok,
pendulum,cem,5,64,10.354799270629883,0.7202692031860352,ok,
pendulum,cem,6,64,9.423182487487793,0.7143571376800537,ok,
pendulum,cem,7,64,9.410712242126465,0.7160189151763916,ok,
pendulum,cem,8,64,9.842486381530762,0.7173285484313965,ok,
pendulum,cem,9,64,8.950772285461426,0.7180397510528564,ok,
pendulum,dial,0,64,11.153965950012207,0.6913032531738281,ok,
pendulum,dial,1,64,11.720788955688477,0.6965947151184082,ok,
pendulum,dial,2,64,11.688409805297852,0.6904842853546143,ok,
pendulum,dial,3,64,11.047222137451172,0.6854138374328613,ok,
pendulum,dial,4,64,11.429295539855957,0.6904714107513428,ok,
pendulum,dial,5,64,11.758069038391113,0.6911783218383789,ok,
pendulum,dial,6,64,11.672446250915527,0.6921141147613525,ok,
pendulum,dial,7,64,11.841011047363281,0.7849619388580322,ok,
pendulum,dial,8,64,11.227981567382812,0.6901652812957764,ok,
pendulum,dial,9,64,11.847796440124512,0.6880595684051514,ok,
pendulum,cmaes,0,64,9.249622344970703,2.1176514625549316,ok,
pendulum,cmaes,1,64,9.0050630569458,2.1055026054382324,ok,
pendulum,cmaes,2,64,9.808053016662598,2.0137948989868164,ok,
pendulum,cmaes,3,64,10.808356285095215,2.1264545917510986,ok,
pendulum,cmaes,4,64,9.690347671508789,2.124755620956421,ok,
pendulum,cmaes,5,64,9.462063789367676,2.040952682495117,ok,
pendulum,cmaes,6,64,10.595819473266602,2.0267910957336426,ok,
pendulum,cmaes,7,64,10.883538246154785,2.1273202896118164,ok,
pendulum,cmaes,8,64,11.231453895568848,2.1256494522094727,ok,
pendulum,cmaes,9,64,10.6322021484375,2.0332021713256836,ok,
pendulum,mppi_cma,0,64,10.859498977661133,2.7150816917419434,ok,
pendulum,mppi_cma,1,64,10.89883041381836,0.7235419750213623,ok,
pendulum,mppi_cma,2,64,11.530097961425781,0.7054915428161621,ok,
pendulum,mppi_cma,3,64,11.42309284210205,0.7131712436676025,ok,
pendulum,mppi_cma,4,64,11.513718605041504,0.7182042598724365,ok,
pendulum,mppi_cma,5,64,11.098047256469727,0.827751874923706,ok,
pendulum,mppi_cma,6,64,10.737550735473633,0.7016103267669678,ok,
pendulum,mppi_cma,7,64,10.948188781738281,0.6970694065093994,ok,
pendulum,mppi_cma,8,64,11.375161170959473,0.8231830596923828,ok,
pendulum,mppi_cma,9,64,11.015562057495117,0.7040424346923828,ok,
pendulum,er_cma,0,64,10.172778129577637,0.7085416316986084,ok,
pendulum,er_cma,1,64,10.183126449584961,0.7227048873901367,ok,
pendulum,er_cma,2,64,10.465554237365723,0.7080047130584717,ok,
pendulum,er_cma,3,64,10.535316467285156,0.7133955955505371,ok,
pendulum,er_cma,4,64,10.24462890625,0.703599214553833,ok,
pendulum,er_cma,5,64,10.314865112304688,0.706498384475708,ok,
pendulum,er_cma,6,64,10.55142593383789,0.7133595943450928,ok,
pendulum,er_cma,7,64,10.510882377624512,0.8097937107086182,ok,
pendulum,er_cma,8,64,10.56457805633545,0.7135112285614014,ok,
pendulum,er_cma,9,64,10.441601753234863,0.7096586227416992,ok,
walker,ps,0,64,4.8389434814453125,11.433863878250122,ok,
walker,ps,1,64,1.9594558477401733,3.1854305267333984,ok,
walker,ps,2,64,4.751738548278809,3.1957852840423584,ok,
walker,ps,3,64,3.298470973968506,3.199113368988037,ok,
walker,ps,4,64,2.718592405319214,3.1927404403686523,ok,
walker,ps,5,64,1.8229222297668457,3.1888768672943115,ok,
walker,ps,6,64,2.2752866744995117,3.1835508346557617,ok,
walker,ps,7,64,5.799219131469727,3.210090160369873,ok,
walker,ps,8,64,6.3762922286987305,3.2974135875701904,ok,
walker,ps,9,64,2.1425352096557617,3.1963558197021484,ok,
walker,mppi,0,64,3.153684139251709,11.396061897277832,ok,
